/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
[bloom-560m] OD dims excluded from standardization (fixed set, all layers): [35, 105, 164, 188, 276, 431, 494, 544, 644, 721, 833, 927, 945, 1021]
step 20: tokens=975864/50000000 (2.0%), loss=0.7954, FVE=0.7439, dead_frac=0.000, throughput=5630 tok/s, ETA=2.42h
step 40: tokens=1950936/50000000 (3.9%), loss=0.7725, FVE=0.7659, dead_frac=0.000, throughput=9554 tok/s, ETA=1.40h
step 60: tokens=2928960/50000000 (5.9%), loss=0.6782, FVE=0.7902, dead_frac=0.000, throughput=12456 tok/s, ETA=1.05h
step 80: tokens=3899976/50000000 (7.8%), loss=0.5912, FVE=0.8133, dead_frac=0.000, throughput=14686 tok/s, ETA=0.87h
step 100: tokens=4873152/50000000 (9.7%), loss=0.5398, FVE=0.8309, dead_frac=0.000, throughput=16453 tok/s, ETA=0.76h
step 120: tokens=5846736/50000000 (11.7%), loss=0.4784, FVE=0.8484, dead_frac=0.000, throughput=17817 tok/s, ETA=0.69h
step 140: tokens=6823920/50000000 (13.6%), loss=0.4696, FVE=0.8544, dead_frac=0.000, throughput=19036 tok/s, ETA=0.63h
step 160: tokens=7797360/50000000 (15.6%), loss=0.4240, FVE=0.8671, dead_frac=0.000, throughput=20051 tok/s, ETA=0.58h
step 180: tokens=8769024/50000000 (17.5%), loss=0.3804, FVE=0.8757, dead_frac=0.000, throughput=20926 tok/s, ETA=0.55h
step 200: tokens=9735480/50000000 (19.5%), loss=0.4027, FVE=0.8749, dead_frac=0.000, throughput=21690 tok/s, ETA=0.52h
step 220: tokens=10709328/50000000 (21.4%), loss=0.3756, FVE=0.8821, dead_frac=0.000, throughput=22199 tok/s, ETA=0.49h
