/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 100: tokens=4873152/1000000000 (0.5%), loss=1.7952, FVU=0.5623, dead_frac=0.000, throughput=16759 tok/s, ETA=16.5h
step 200: tokens=9735480/1000000000 (1.0%), loss=1.2298, FVU=0.3822, dead_frac=0.000, throughput=22255 tok/s, ETA=12.4h
step 300: tokens=14575632/1000000000 (1.5%), loss=0.7135, FVU=0.2205, dead_frac=0.000, throughput=25050 tok/s, ETA=10.9h
step 400: tokens=19403280/1000000000 (1.9%), loss=0.4741, FVU=0.1470, dead_frac=0.000, throughput=26757 tok/s, ETA=10.2h
step 500: tokens=24195528/1000000000 (2.4%), loss=0.3902, FVU=0.1249, dead_frac=0.000, throughput=27899 tok/s, ETA=9.7h
step 600: tokens=29035824/1000000000 (2.9%), loss=0.3451, FVU=0.1093, dead_frac=0.000, throughput=28708 tok/s, ETA=9.4h
step 700: tokens=33891576/1000000000 (3.4%), loss=0.3037, FVU=0.0945, dead_frac=0.000, throughput=29355 tok/s, ETA=9.1h
step 800: tokens=38746992/1000000000 (3.9%), loss=0.2866, FVU=0.0883, dead_frac=0.000, throughput=29874 tok/s, ETA=8.9h
step 900: tokens=43582248/1000000000 (4.4%), loss=0.2898, FVU=0.0926, dead_frac=0.000, throughput=30251 tok/s, ETA=8.8h
step 1000: tokens=48419736/1000000000 (4.8%), loss=0.2598, FVU=0.0830, dead_frac=0.000, throughput=30553 tok/s, ETA=8.7h
step 1100: tokens=53245728/1000000000 (5.3%), loss=0.2361, FVU=0.0764, dead_frac=0.000, throughput=30819 tok/s, ETA=8.5h
step 1200: tokens=58058184/1000000000 (5.8%), loss=0.2208, FVU=0.0716, dead_frac=0.000, throughput=31050 tok/s, ETA=8.4h
step 1300: tokens=62888448/1000000000 (6.3%), loss=0.1995, FVU=0.0651, dead_frac=0.000, throughput=31253 tok/s, ETA=8.3h
step 1400: tokens=67748856/1000000000 (6.8%), loss=0.2184, FVU=0.0690, dead_frac=0.000, throughput=31427 tok/s, ETA=8.2h
step 1500: tokens=72626256/1000000000 (7.3%), loss=0.2027, FVU=0.0646, dead_frac=0.000, throughput=31576 tok/s, ETA=8.2h
step 1600: tokens=77422920/1000000000 (7.7%), loss=0.1999, FVU=0.0633, dead_frac=0.000, throughput=31704 tok/s, ETA=8.1h
step 1700: tokens=82245912/1000000000 (8.2%), loss=0.1959, FVU=0.0607, dead_frac=0.000, throughput=31827 tok/s, ETA=8.0h
step 1800: tokens=87001608/1000000000 (8.7%), loss=0.1805, FVU=0.0561, dead_frac=0.000, throughput=31941 tok/s, ETA=7.9h
step 1900: tokens=91671672/1000000000 (9.2%), loss=0.1805, FVU=0.0570, dead_frac=0.000, throughput=32042 tok/s, ETA=7.9h
step 2000: tokens=96366432/1000000000 (9.6%), loss=0.1779, FVU=0.0569, dead_frac=0.000, throughput=32138 tok/s, ETA=7.8h
step 2100: tokens=101097888/1000000000 (10.1%), loss=0.1844, FVU=0.0575, dead_frac=0.000, throughput=32203 tok/s, ETA=7.8h
step 2200: tokens=105840312/1000000000 (10.6%), loss=0.1632, FVU=0.0514, dead_frac=0.000, throughput=32282 tok/s, ETA=7.7h
step 2300: tokens=110578512/1000000000 (11.1%), loss=0.1614, FVU=0.0526, dead_frac=0.000, throughput=32360 tok/s, ETA=7.6h
step 2400: tokens=115300176/1000000000 (11.5%), loss=0.1751, FVU=0.0553, dead_frac=0.000, throughput=32432 tok/s, ETA=7.6h
step 2500: tokens=120075000/1000000000 (12.0%), loss=0.1716, FVU=0.0526, dead_frac=0.000, throughput=32505 tok/s, ETA=7.5h
step 2600: tokens=124865232/1000000000 (12.5%), loss=0.1643, FVU=0.0512, dead_frac=0.000, throughput=32566 tok/s, ETA=7.5h
step 2700: tokens=129600024/1000000000 (13.0%), loss=0.1629, FVU=0.0511, dead_frac=0.000, throughput=32614 tok/s, ETA=7.4h
step 2800: tokens=134370840/1000000000 (13.4%), loss=0.1524, FVU=0.0479, dead_frac=0.000, throughput=32657 tok/s, ETA=7.4h
step 2900: tokens=139135344/1000000000 (13.9%), loss=0.1441, FVU=0.0452, dead_frac=0.000, throughput=32709 tok/s, ETA=7.3h
step 3000: tokens=143951232/1000000000 (14.4%), loss=0.1538, FVU=0.0487, dead_frac=0.000, throughput=32755 tok/s, ETA=7.3h
step 3100: tokens=148746720/1000000000 (14.9%), loss=0.1488, FVU=0.0463, dead_frac=0.000, throughput=32801 tok/s, ETA=7.2h
step 3200: tokens=153535200/1000000000 (15.4%), loss=0.1493, FVU=0.0470, dead_frac=0.000, throughput=32844 tok/s, ETA=7.2h
step 3300: tokens=158308344/1000000000 (15.8%), loss=0.1479, FVU=0.0462, dead_frac=0.000, throughput=32884 tok/s, ETA=7.1h
step 3400: tokens=163119384/1000000000 (16.3%), loss=0.1508, FVU=0.0493, dead_frac=0.000, throughput=32921 tok/s, ETA=7.1h
step 3500: tokens=167913504/1000000000 (16.8%), loss=0.1371, FVU=0.0429, dead_frac=0.000, throughput=32958 tok/s, ETA=7.0h
step 3600: tokens=172708728/1000000000 (17.3%), loss=0.1376, FVU=0.0414, dead_frac=0.000, throughput=32995 tok/s, ETA=7.0h
step 3700: tokens=177383184/1000000000 (17.7%), loss=0.1222, FVU=0.0382, dead_frac=0.000, throughput=33032 tok/s, ETA=6.9h
step 3800: tokens=181980816/1000000000 (18.2%), loss=0.1218, FVU=0.0369, dead_frac=0.000, throughput=33064 tok/s, ETA=6.9h
step 3900: tokens=186608448/1000000000 (18.7%), loss=0.1321, FVU=0.0409, dead_frac=0.000, throughput=33096 tok/s, ETA=6.8h
step 4000: tokens=191230104/1000000000 (19.1%), loss=0.1185, FVU=0.0368, dead_frac=0.000, throughput=33125 tok/s, ETA=6.8h
step 4100: tokens=195856032/1000000000 (19.6%), loss=0.1285, FVU=0.0408, dead_frac=0.000, throughput=33142 tok/s, ETA=6.7h
step 4200: tokens=200476080/1000000000 (20.0%), loss=0.1269, FVU=0.0390, dead_frac=0.000, throughput=33168 tok/s, ETA=6.7h
step 4300: tokens=204997896/1000000000 (20.5%), loss=0.1290, FVU=0.0396, dead_frac=0.000, throughput=33189 tok/s, ETA=6.7h
step 4400: tokens=209650944/1000000000 (21.0%), loss=0.1254, FVU=0.0382, dead_frac=0.000, throughput=33212 tok/s, ETA=6.6h
step 4500: tokens=214260960/1000000000 (21.4%), loss=0.1071, FVU=0.0338, dead_frac=0.000, throughput=33238 tok/s, ETA=6.6h
step 4600: tokens=218902416/1000000000 (21.9%), loss=0.1151, FVU=0.0354, dead_frac=0.000, throughput=33261 tok/s, ETA=6.5h
step 4700: tokens=223636584/1000000000 (22.4%), loss=0.1138, FVU=0.0342, dead_frac=0.000, throughput=33286 tok/s, ETA=6.5h
