/home/hyohyeongjang/.conda/envs/commonRegion/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (6.0.0.post1)/charset_normalizer (3.4.3) doesn't match a supported version!
  warnings.warn(
step 100: tokens=4776504/1000000000 (0.5%), loss=7.1376, FVU=0.6170, dead_frac=0.000, throughput=33829 tok/s, ETA=8.2h
step 200: tokens=9532488/1000000000 (1.0%), loss=3.4837, FVU=0.3003, dead_frac=0.000, throughput=34239 tok/s, ETA=8.0h
step 300: tokens=14304000/1000000000 (1.4%), loss=1.3956, FVU=0.1209, dead_frac=0.000, throughput=34571 tok/s, ETA=7.9h
step 400: tokens=19086888/1000000000 (1.9%), loss=0.4504, FVU=0.0382, dead_frac=0.000, throughput=34633 tok/s, ETA=7.9h
step 500: tokens=23851152/1000000000 (2.4%), loss=0.2890, FVU=0.0247, dead_frac=0.000, throughput=34687 tok/s, ETA=7.8h
step 600: tokens=28602168/1000000000 (2.9%), loss=0.2790, FVU=0.0246, dead_frac=0.000, throughput=34780 tok/s, ETA=7.8h
step 700: tokens=33363552/1000000000 (3.3%), loss=0.3286, FVU=0.0276, dead_frac=0.000, throughput=34804 tok/s, ETA=7.7h
step 800: tokens=38123520/1000000000 (3.8%), loss=0.3068, FVU=0.0256, dead_frac=0.000, throughput=34885 tok/s, ETA=7.7h
step 900: tokens=42900240/1000000000 (4.3%), loss=0.2659, FVU=0.0227, dead_frac=0.000, throughput=34894 tok/s, ETA=7.6h
step 1000: tokens=47661480/1000000000 (4.8%), loss=0.2428, FVU=0.0210, dead_frac=0.000, throughput=34941 tok/s, ETA=7.6h
step 1100: tokens=52405800/1000000000 (5.2%), loss=0.2350, FVU=0.0194, dead_frac=0.000, throughput=34930 tok/s, ETA=7.5h
step 1200: tokens=57162000/1000000000 (5.7%), loss=0.2189, FVU=0.0189, dead_frac=0.000, throughput=34932 tok/s, ETA=7.5h
step 1300: tokens=61937136/1000000000 (6.2%), loss=0.1971, FVU=0.0173, dead_frac=0.000, throughput=34974 tok/s, ETA=7.5h
step 1400: tokens=66690960/1000000000 (6.7%), loss=0.2015, FVU=0.0173, dead_frac=0.000, throughput=34941 tok/s, ETA=7.4h
step 1500: tokens=71455464/1000000000 (7.1%), loss=0.1886, FVU=0.0165, dead_frac=0.000, throughput=34931 tok/s, ETA=7.4h
step 1600: tokens=76225944/1000000000 (7.6%), loss=0.1819, FVU=0.0162, dead_frac=0.000, throughput=34959 tok/s, ETA=7.3h
step 1700: tokens=80982072/1000000000 (8.1%), loss=0.1918, FVU=0.0161, dead_frac=0.000, throughput=34985 tok/s, ETA=7.3h
step 1800: tokens=85755912/1000000000 (8.6%), loss=0.1848, FVU=0.0159, dead_frac=0.000, throughput=34978 tok/s, ETA=7.3h
step 1900: tokens=90531120/1000000000 (9.1%), loss=0.1808, FVU=0.0161, dead_frac=0.000, throughput=34984 tok/s, ETA=7.2h
step 2000: tokens=95297376/1000000000 (9.5%), loss=0.1829, FVU=0.0161, dead_frac=0.000, throughput=35000 tok/s, ETA=7.2h
step 2100: tokens=100030248/1000000000 (10.0%), loss=0.1599, FVU=0.0134, dead_frac=0.000, throughput=34960 tok/s, ETA=7.2h
step 2200: tokens=104808192/1000000000 (10.5%), loss=0.1735, FVU=0.0151, dead_frac=0.000, throughput=34964 tok/s, ETA=7.1h
step 2300: tokens=109570968/1000000000 (11.0%), loss=0.1732, FVU=0.0142, dead_frac=0.000, throughput=34979 tok/s, ETA=7.1h
step 2400: tokens=114351744/1000000000 (11.4%), loss=0.1575, FVU=0.0136, dead_frac=0.000, throughput=34963 tok/s, ETA=7.0h
step 2500: tokens=119125608/1000000000 (11.9%), loss=0.1622, FVU=0.0141, dead_frac=0.000, throughput=34957 tok/s, ETA=7.0h
step 2600: tokens=123879120/1000000000 (12.4%), loss=0.1580, FVU=0.0141, dead_frac=0.000, throughput=34971 tok/s, ETA=7.0h
step 2700: tokens=128634264/1000000000 (12.9%), loss=0.1482, FVU=0.0125, dead_frac=0.000, throughput=34987 tok/s, ETA=6.9h
step 2800: tokens=133412640/1000000000 (13.3%), loss=0.1488, FVU=0.0126, dead_frac=0.000, throughput=34987 tok/s, ETA=6.9h
step 2900: tokens=138202344/1000000000 (13.8%), loss=0.1602, FVU=0.0139, dead_frac=0.000, throughput=34997 tok/s, ETA=6.8h
