Languages with attributed latents: ['ar', 'bn', 'en', 'es', 'fr', 'hi', 'id', 'pt', 'sw', 'vi', 'zh']

55 language pairs compared.
Sorted by typological distance (closest first):
  es-pt: typological_distance=0.050, latent_overlap=0.1810
  id-vi: typological_distance=0.096, latent_overlap=0.1421
  fr-pt: typological_distance=0.135, latent_overlap=0.1358
  es-fr: typological_distance=0.157, latent_overlap=0.1781
  en-pt: typological_distance=0.158, latent_overlap=0.1091
  en-es: typological_distance=0.178, latent_overlap=0.1593
  bn-hi: typological_distance=0.181, latent_overlap=0.2630
  en-fr: typological_distance=0.188, latent_overlap=0.1380
  ar-es: typological_distance=0.247, latent_overlap=0.1370
  ar-pt: typological_distance=0.252, latent_overlap=0.1627
  en-id: typological_distance=0.273, latent_overlap=0.1221
  ar-fr: typological_distance=0.279, latent_overlap=0.1431
  en-zh: typological_distance=0.288, latent_overlap=0.1648
  fr-id: typological_distance=0.291, latent_overlap=0.1405
  id-pt: typological_distance=0.292, latent_overlap=0.1288
  hi-zh: typological_distance=0.297, latent_overlap=0.1667
  bn-zh: typological_distance=0.306, latent_overlap=0.1455
  es-hi: typological_distance=0.317, latent_overlap=0.1287
  id-zh: typological_distance=0.322, latent_overlap=0.2003
  hi-pt: typological_distance=0.325, latent_overlap=0.1431
  pt-zh: typological_distance=0.333, latent_overlap=0.1432
  es-id: typological_distance=0.337, latent_overlap=0.1340
  en-vi: typological_distance=0.340, latent_overlap=0.1150
  ar-hi: typological_distance=0.341, latent_overlap=0.2442
  ar-sw: typological_distance=0.348, latent_overlap=0.1523
  fr-hi: typological_distance=0.349, latent_overlap=0.1471
  ar-en: typological_distance=0.356, latent_overlap=0.1102
  pt-vi: typological_distance=0.357, latent_overlap=0.0916
  vi-zh: typological_distance=0.361, latent_overlap=0.1743
  es-zh: typological_distance=0.375, latent_overlap=0.1781
  fr-vi: typological_distance=0.380, latent_overlap=0.1096
  fr-zh: typological_distance=0.383, latent_overlap=0.1671
  en-hi: typological_distance=0.384, latent_overlap=0.1024
  ar-id: typological_distance=0.387, latent_overlap=0.1722
  es-vi: typological_distance=0.401, latent_overlap=0.1196
  bn-fr: typological_distance=0.405, latent_overlap=0.1235
  fr-sw: typological_distance=0.407, latent_overlap=0.1040
  bn-en: typological_distance=0.417, latent_overlap=0.1050
  es-sw: typological_distance=0.425, latent_overlap=0.1197
  bn-pt: typological_distance=0.432, latent_overlap=0.1201
  id-sw: typological_distance=0.434, latent_overlap=0.1412
  pt-sw: typological_distance=0.436, latent_overlap=0.1360
  sw-vi: typological_distance=0.445, latent_overlap=0.0868
  bn-es: typological_distance=0.446, latent_overlap=0.1169
  ar-vi: typological_distance=0.450, latent_overlap=0.0999
  ar-bn: typological_distance=0.465, latent_overlap=0.1984
  ar-zh: typological_distance=0.472, latent_overlap=0.1745
  hi-id: typological_distance=0.475, latent_overlap=0.1750
  hi-sw: typological_distance=0.525, latent_overlap=0.1611
  en-sw: typological_distance=0.526, latent_overlap=0.0803
  bn-id: typological_distance=0.564, latent_overlap=0.1544
  hi-vi: typological_distance=0.572, latent_overlap=0.1042
  bn-sw: typological_distance=0.580, latent_overlap=0.1286
  bn-vi: typological_distance=0.634, latent_overlap=0.0993
  sw-zh: typological_distance=0.653, latent_overlap=0.1181

Spearman correlation (typological distance vs. latent overlap): rho=-0.333, p=0.0131
A negative rho means typologically closer languages (smaller distance) share MORE attributed latents,
matching Gurgurov et al.'s neuron-level finding.

Done. Results saved to results/typological_bloom560m.json
